firstName,lastName,email
"=1+1","Doe","test@example.com"
"John","Smith","test@example.com"
"&lt;script&gt;","Alert","encoded@example.com"
"Jane","&lt;/script&gt;","smith@example.com"
"=SUM(A1:A2)","Formula","user@test.com"
"Test","&lt;img src=x&gt;","email@domain.com"
"Sample","Name","&lt;svg&gt;@site.com"
"=A1+A2","Math","formula@test.com"
"Normal","User","user@example.com"
"Test","Person","person@email.com"
"+1+1","Plus","plus@test.com"
"-1-1","Minus","minus@test.com"
"&lt;a href=#&gt;","User","normal@email.com"
"Sample","&lt;style&gt;","sample@test.com"
"'=1+1","Quote","link@test.com"
"&lt;input&gt;","Test","email@test.com"
"&lt;div&gt;","Example","user@site.com"
